Scenario,Algorithm,run,HV,IGD+,runtime_s,evaluations,evaluate_time_s,evaluate_calls,verifyta_time_s,verifyta_calls,verifyta_pct,feasible_calls,infeasible_calls,total_calls,feasibility_rate
ObstacleAvoidance_Hard,qehvi,4,0.5636539003601243,0.3574494509072319,15.57380190002732,41.0,3.6627593003213406,52.0,3.6235305002192035,52.0,98.9289823085373,42.0,10.0,52.0,0.8076923076923077
ObstacleAvoidance_Hard,qehvi,5,0.5636539003601243,0.3574494509072319,14.070486099924892,40.0,3.661164299584925,52.0,3.621721000294201,52.0,98.92265694562803,41.0,12.0,53.0,0.7735849056603774
ObstacleAvoidance_Hard,qehvi,6,0.43551551155893586,0.5104006086927863,11.021420700009912,30.0,3.6758138997247443,51.0,3.640251799719408,51.0,99.03253807250691,31.0,20.0,51.0,0.6078431372549019
ObstacleAvoidance_Hard,qehvi,7,0.5636539003601243,0.3574494509072319,15.17095880000852,43.0,3.917673600371927,56.0,3.875038799829781,56.0,98.91173168336181,44.0,12.0,56.0,0.7857142857142857
ObstacleAvoidance_Hard,qehvi,8,0.5636539003601243,0.3574494509072319,14.072257100022398,43.0,3.606940099853091,50.0,3.5675848001847044,50.0,98.90890065876088,44.0,6.0,50.0,0.88
ObstacleAvoidance_Hard,qehvi,9,0.5636539003601243,0.3574494509072319,16.976868300000206,45.0,4.139530400047079,59.0,4.094250199617818,59.0,98.90615127675483,46.0,13.0,59.0,0.7796610169491526
ObstacleAvoidance_Hard,moead,0,0.5636539003601243,0.3574494509072319,31.941874100011773,4860.0,281.23572690505534,3977.0,274.3061187020503,1358.0,97.53601426132305,2219.0,2642.0,4861.0,0.4564904340670644
ObstacleAvoidance_Hard,moead,1,0.5631900515465071,0.3575868335397405,31.855106699978933,4860.0,276.6007197985891,3961.0,269.71212599938735,1338.0,97.50955319125062,2224.0,2637.0,4861.0,0.4575190290063773
ObstacleAvoidance_Hard,moead,2,0.5636412279376116,0.35745296898667905,32.845867099938914,4860.0,274.4057877014857,4001.0,268.2828686007997,1339.0,97.76866255191861,2182.0,2679.0,4861.0,0.44887883151614894
ObstacleAvoidance_Hard,moead,3,0.5636539003601243,0.3574494509072319,31.09480869991239,4620.0,272.4131103984546,3795.0,265.9986373038264,1324.0,97.64531410208347,2103.0,2518.0,4621.0,0.45509629950227226
ObstacleAvoidance_Hard,moead,4,0.5636539003601243,0.3574494509072319,32.322768299956806,4860.0,276.41572530497797,4020.0,270.1842015008442,1358.0,97.7455972169245,2190.0,2671.0,4861.0,0.45052458341904955
ObstacleAvoidance_Hard,moead,5,0.5636539003601243,0.3574494509072319,31.088596699992195,4860.0,269.7911796004046,3902.0,263.6906526008388,1321.0,97.7387967210042,2268.0,2593.0,4861.0,0.4665706644723308
ObstacleAvoidance_Hard,moead,6,0.5636539003601243,0.3574494509072319,34.78439410007559,4320.0,303.75012740155216,3592.0,295.0465766994748,1473.0,97.13463471553663,2184.0,2137.0,4321.0,0.5054385558898403
ObstacleAvoidance_Hard,moead,7,0.5636539003601243,0.3574494509072319,33.105679300031625,4860.0,291.32986889907625,4000.0,284.59656420210376,1371.0,97.68876953042358,2213.0,2648.0,4861.0,0.4552561201398889
ObstacleAvoidance_Hard,moead,8,0.5636212083064807,0.35745852954141355,32.130573800066486,4860.0,277.04291999991983,3951.0,270.97752549964935,1350.0,97.81066612340346,2239.0,2622.0,4861.0,0.460604813824316
ObstacleAvoidance_Hard,moead,9,0.5636533494954292,0.3574496038083987,34.34188529988751,4860.0,284.02110329666175,4018.0,276.7599332985701,1404.0,97.44343997195612,2232.0,2629.0,4861.0,0.4591647809092779
ObstacleAvoidance_Hard,eps-constraint,0,0.5577285797441578,0.35924126637439724,18.312669800012372,2596.0,18.23855920205824,2596.0,17.963974301004782,260.0,98.49448140057866,228.0,2368.0,2596.0,0.08782742681047766
ObstacleAvoidance_Hard,eps-constraint,1,0.5546914811479862,0.3602722963733305,13.185660400078632,1876.0,13.135100899846293,1876.0,12.947538800071925,188.0,98.57205436635388,165.0,1711.0,1876.0,0.08795309168443496
ObstacleAvoidance_Hard,eps-constraint,2,0.5543716737137158,0.360385242269415,13.351663999957964,1936.0,13.299444900127128,1936.0,13.099915600148961,194.0,98.49971708235537,185.0,1751.0,1936.0,0.09555785123966942
ObstacleAvoidance_Hard,eps-constraint,3,0.5540515495270293,0.36049913046088516,19.336154700024053,2776.0,19.25614839734044,2776.0,18.95705489977263,278.0,98.44676364454524,252.0,2524.0,2776.0,0.09077809798270893
ObstacleAvoidance_Hard,eps-constraint,4,0.5625894308965368,0.35774969014549407,14.227915300056338,2056.0,14.172194699756801,2056.0,13.961443600943312,206.0,98.51292546229904,191.0,1865.0,2056.0,0.0928988326848249
ObstacleAvoidance_Hard,eps-constraint,5,0.5525852188220388,0.36103137731790463,16.959770600078627,2416.0,16.888113499619067,2416.0,16.642990899155848,242.0,98.54854954362577,201.0,2215.0,2416.0,0.08319536423841059
ObstacleAvoidance_Hard,eps-constraint,6,0.5570684519748021,0.3594589388946274,22.087637500022538,3136.0,21.995975101715885,3136.0,21.671660099644214,314.0,98.52557115303166,254.0,2882.0,3136.0,0.08099489795918367
ObstacleAvoidance_Hard,eps-constraint,7,0.49717804406631677,0.3930942707829265,17.962503100046888,2596.0,17.88129520334769,2596.0,17.607050500344485,260.0,98.4663040351134,227.0,2369.0,2596.0,0.087442218798151
ObstacleAvoidance_Hard,eps-constraint,8,0.5351917508743351,0.36862431413054053,13.12255880003795,1876.0,13.070045399828814,1876.0,12.878648700076155,188.0,98.53560799601227,170.0,1706.0,1876.0,0.0906183368869936
ObstacleAvoidance_Hard,eps-constraint,9,0.5604196828148821,0.3583911614822326,23.239679699996486,3316.0,23.134957203059457,3316.0,22.785263198893517,332.0,98.48846055302106,271.0,3045.0,3316.0,0.08172496984318456
Overtaking_Easy,nsga2,0,0.834507050772471,0.13003226388688666,32.7931020000251,4860.0,277.0890368014807,4681.0,270.2105615984183,1469.0,97.51759388156867,1626.0,3235.0,4861.0,0.3344990742645546
Overtaking_Easy,nsga2,1,0.834894039356278,0.12987503127666417,33.19623990007676,4860.0,291.27792410273105,4625.0,283.75379229919054,1493.0,97.4168547696437,1701.0,3160.0,4861.0,0.3499279983542481
Overtaking_Easy,nsga2,2,0.8341190063457286,0.13006438611989785,35.21535449998919,4860.0,310.7985100953374,4677.0,302.2756282988703,1584.0,97.25774689400772,1755.0,3106.0,4861.0,0.3610368236988274
Overtaking_Easy,nsga2,3,0.8355044367954962,0.12979760635515938,35.65035439992789,4860.0,316.60643500171136,4650.0,307.85927980032284,1602.0,97.23721496648,1785.0,3076.0,4861.0,0.3672083933347048
Overtaking_Easy,nsga2,4,0.8335596027103759,0.13007857175684487,34.853082000045106,4860.0,301.2095602029003,4663.0,293.1766442983644,1577.0,97.33311389614433,1757.0,3104.0,4861.0,0.3614482616745526
Overtaking_Easy,nsga2,5,0.8351986902792009,0.12983570689642387,32.6736240000464,4860.0,280.51406240463257,4657.0,273.70088599727023,1463.0,97.57118186911623,1634.0,3227.0,4861.0,0.3361448261674553
Overtaking_Easy,nsga2,6,0.833600896595373,0.13008621250906863,31.37430929997936,4860.0,276.5514855068177,4622.0,270.07458150282037,1441.0,97.65797533427545,1657.0,3204.0,4861.0,0.3408763628882946
Overtaking_Easy,nsga2,7,0.835095376548708,0.1298561934662758,34.73519410006702,4860.0,314.3354902054416,4659.0,305.38977119955234,1602.0,97.1540855917852,1785.0,3076.0,4861.0,0.3672083933347048
Overtaking_Easy,nsga2,8,0.8313897645547369,0.1307168869274806,33.38687479996588,4860.0,286.1344277029857,4648.0,278.92808020149823,1500.0,97.48148184776709,1689.0,3172.0,4861.0,0.3474593704998971
Overtaking_Easy,nsga2,9,0.8343037511185845,0.13002015375099366,33.20238999999128,4860.0,284.8574773989385,4685.0,277.98223000287544,1496.0,97.58642551396522,1646.0,3215.0,4861.0,0.3386134540218062
Overtaking_Easy,sms-emoa,0,0.834639641501791,0.13005943550906202,34.16562410001643,4860.0,288.9886280008359,4632.0,281.5427562003024,1510.0,97.42347238642485,1713.0,3148.0,4861.0,0.3523966262085991
Overtaking_Easy,sms-emoa,1,0.8354179600137304,0.12980905534877374,34.402803499950096,4860.0,294.24004749942105,4672.0,286.3303162015509,1548.0,97.3118100798683,1714.0,3147.0,4861.0,0.3526023451964616
Overtaking_Easy,sms-emoa,2,0.8306290185948545,0.13269640168026156,33.74068069993518,4860.0,288.08183189935517,4658.0,280.8552070980659,1527.0,97.49146804793507,1715.0,3146.0,4861.0,0.3528080641843242
Overtaking_Easy,sms-emoa,3,0.8351017102272564,0.1298799211494318,34.8851074000122,4860.0,298.94100150174927,4683.0,291.18210349883884,1552.0,97.40453870030102,1707.0,3154.0,4861.0,0.3511623122814236
Overtaking_Easy,sms-emoa,4,0.8349416218971851,0.12986994433687563,34.229895399999805,4860.0,300.16137789632194,4678.0,292.3945651999675,1538.0,97.41245434346413,1707.0,3154.0,4861.0,0.3511623122814236
Overtaking_Easy,sms-emoa,5,0.8347897107429426,0.12989989781677685,33.62297390005551,4860.0,288.254628400784,4651.0,280.31667050125543,1506.0,97.2461993260723,1687.0,3174.0,4861.0,0.347047932524172
Overtaking_Easy,sms-emoa,6,0.833724718133589,0.13005129551019845,33.26294789998792,4860.0,285.9381377962418,4627.0,278.4749716002261,1486.0,97.389936769703,1696.0,3165.0,4861.0,0.3488994034149352
Overtaking_Easy,sms-emoa,7,0.8349258070272528,0.1298869637398238,35.420086099999025,4860.0,305.66816170176025,4672.0,298.14536889945157,1584.0,97.53890206934648,1751.0,3110.0,4861.0,0.3602139477473771
Overtaking_Easy,sms-emoa,8,0.835079934100225,0.12985372847962043,33.786852700053714,4860.0,296.2997510989662,4668.0,288.67379529809114,1534.0,97.42626992679182,1702.0,3159.0,4861.0,0.3501337173421107
Overtaking_Easy,sms-emoa,9,0.8354041890386319,0.1298207838720399,33.97244060004596,4860.0,295.4504948006943,4685.0,288.03462680231314,1548.0,97.48997949609671,1690.0,3171.0,4861.0,0.3476650894877597
