Algorithm,Generation,median,q1,q3
nsga2,22,0.08138429329629217,0.047191348386143896,0.15584340276504866
nsga2,23,0.08165416910948178,0.05560765728309544,0.15592159273561002
nsga2,24,0.082862148824842,0.058374591926974195,0.1554670955285044
nsga2,25,0.08509316869851583,0.055639194490683976,0.1610555574442855
nsga2,26,0.08899518128299454,0.06315078571269066,0.16810338569126645
nsga2,27,0.09025373526327693,0.06727112391303883,0.1689179537952721
nsga2,28,0.09213084088946272,0.07034578185159018,0.17110617055010824
nsga2,29,0.09154783111444095,0.07046112329644452,0.17110617055010824
nsga2,30,0.092516480717336,0.07294384013526008,0.17850690664650193
nsga2,31,0.09251982816577811,0.071703654342298,0.17947329157258152
nsga2,32,0.09310308823914705,0.07178032692876249,0.1830247112308164
nsga2,33,0.09368637196937807,0.07183906100904808,0.1831068042603992
nsga2,34,0.09500559008870771,0.07214504404676299,0.18376243119024194
nsga2,35,0.09402827340306112,0.0687989503618226,0.17391682875918468
nsga2,36,0.09464388882057526,0.06273292765492895,0.18393553384072095
nsga2,37,0.09472188817959193,0.06300655612494757,0.18703758748700786
nsga2,38,0.09687276841918147,0.06361806611583969,0.19248994790633006
nsga2,39,0.0986674637202822,0.06283234315229484,0.19254234932032116
nsga2,40,0.09867473388563454,0.06296518835370056,0.19467995720684544
nsga2,41,0.09868532624023892,0.0639491710873865,0.1973063354903013
nsga2,42,0.09872029385227318,0.06433526765900434,0.19892685325599788
nsga2,43,0.09886449458943777,0.06453953619802333,0.2002676956179505
nsga2,44,0.09905223351347282,0.06618902161327629,0.20165745537120483
nsga2,45,0.10057408630707959,0.07112740106898674,0.21159740417389622
nsga2,46,0.10333191259866453,0.07460295187857503,0.21159760519278248
nsga2,47,0.10333223379933532,0.07609078523250272,0.211624059600327
nsga2,48,0.10401611850929758,0.07614022935427951,0.21327414434693326
nsga2,49,0.10466911820420777,0.07255241572712895,0.21336378085348984
nsga2,50,0.10500820457886582,0.07260905468266889,0.21349004994774856
nsga2,51,0.10500843673372995,0.07264079035071122,0.21856634437785805
nsga2,52,0.10500889801278468,0.07410991013608897,0.21856740613895542
nsga2,53,0.10651774654177842,0.07844955350070609,0.2194048960916356
nsga2,54,0.10656598879889971,0.07638826083939351,0.21966462796265587
nsga2,55,0.10678731214812202,0.07642967057119679,0.22130456992792927
nsga2,56,0.10678731214812202,0.07678339637027448,0.22182570975471344
nsga2,57,0.10678746321183348,0.07680078737662106,0.2218259123488146
nsga2,58,0.10680051049580569,0.0773031084348883,0.22237588402244235
nsga2,59,0.1068205738605306,0.07731524581744836,0.22237588402244235
nsga2,60,0.10683184055895162,0.07764404700985347,0.22238615384389088
nsga2,61,0.10707618866023827,0.07769850289316561,0.22294191164362545
nsga2,62,0.10707618866023827,0.08041399281425284,0.23962906544023338
nsga2,63,0.10707647180423191,0.0804142335606963,0.23963087272943814
nsga2,64,0.10707665709774389,0.08043863238809824,0.24662323311517764
nsga2,65,0.10717308732973523,0.08084383684522774,0.24662722084832933
nsga2,66,0.10732987480036638,0.0808744803164533,0.2510038766693887
nsga2,67,0.10733001817156163,0.08100083852287884,0.25193860469220775
nsga2,68,0.1078853552011255,0.081108960672772,0.26340602184306994
nsga2,69,0.10827078048180427,0.0812255028792112,0.2707835377071811
nsga2,70,0.10828413181842707,0.08176405276406712,0.2710355850756801
nsga2,71,0.10828413181842707,0.08176405276406712,0.27144291929165854
nsga2,72,0.10829748894192737,0.08198251582546581,0.2639397637534157
nsga2,73,0.1086134244144468,0.08198270893919736,0.2639397637534157
nsga2,74,0.10929395255179628,0.08200581510084047,0.263948000482541
nsga2,75,0.11014449588364851,0.08206844820813794,0.26687252047479015
nsga2,76,0.11015566855639504,0.08208749406728401,0.26744804611260464
nsga2,77,0.11015566855639504,0.08210408140719877,0.2674508971726133
nsga2,78,0.11015567411584054,0.08210408140719877,0.2726265038609048
nsga2,79,0.11015567411584054,0.08210408140719877,0.2726268995012556
nsga2,80,0.11015567433454962,0.08210438148722012,0.2726514332310328
qehvi,1,0.0028571590417044005,0.0007298071987782927,0.015929382974820053
qehvi,2,0.0028571590417044005,0.0007298071987782927,0.015929382974820053
qehvi,3,0.003025022397178348,0.0007501243424876435,0.015929382974820053
qehvi,4,0.003025022397178348,0.0007501243424876435,0.015929382974820053
qehvi,5,0.003061263421623363,0.0007753356671826178,0.015929382974820053
